price_rub,price_log_rub,source,region,okrug,settlement,property_format,house_type,housing_market,housing_class,heating_type,overlap_type,gas_supply_type,redevelopment_status,repair_type,finish_type,sale_type,bathroom_type,balcony_loggia_type,floor_group,furniture_set,appliances_set,is_studio,is_first_floor,is_last_floor,is_new_building_year,is_share_sale,is_apartment_format,is_penthouse_format,has_elevator,has_balcony,has_loggia,windows_yard,windows_street,windows_park_or_forest,windows_water,windows_sunny,windows_panoramic,windows_two_sides,windows_quiet,parking_underground,parking_surface,parking_multilevel,parking_yard,parking_open_yard,parking_barrier,parking_guest,yard_closed,yard_playground,yard_sportground,yard_no_cars,yard_barrier,has_furniture,has_kitchen_furniture,has_wardrobe_storage,has_sleeping_places,has_fridge,has_washer,has_dishwasher,has_ac,has_water_heater,has_oven,has_cooktop,has_hood,has_appliances,mortgage_possible,one_owner,no_encumbrance,quick_deal,has_warm_floor,is_emergency_house,has_ramp,has_minor_owners,maternity_capital_used,has_garbage_chute,has_concierge,entrance_clean,entrance_needs_repair,has_security,has_storage_room,has_mall_nearby_text,has_park_nearby_text,has_school_nearby_text,has_kindergarten_nearby_text,has_metro_1000m,has_park_1000m,has_school_1000m,has_kindergarten_1000m,has_hospital_clinic_1000m,has_pharmacy_1000m,has_supermarket_1000m,has_public_transport_stop_1000m,has_cafe_restaurant_1000m,has_fitness_sport_1000m,lat,lon,rooms,total_area_m2,kitchen_area_m2,living_area_m2,kitchen_area_share,living_area_share,floor,floors_total,floor_ratio,house_year,house_age,ceiling_height_m,housing_class_rank,ownership_share_fraction,finish_rank,bathroom_combined_count,bathroom_separate_count,bathroom_total_count,passenger_elevator_count,freight_elevator_count,elevator_total_count,metro_min_listed,metro_count_listed,mkad_distance_km,balcony_count,loggia_count,windows_view_count,description_len_chars,description_len_words,osm_metro_count_1000m,osm_metro_nearest_1000m,osm_park_count_1000m,osm_park_nearest_1000m,osm_school_count_1000m,osm_school_nearest_1000m,osm_kindergarten_count_1000m,osm_kindergarten_nearest_1000m,osm_hospital_clinic_count_1000m,osm_hospital_clinic_nearest_1000m,osm_pharmacy_count_1000m,osm_pharmacy_nearest_1000m,osm_supermarket_count_1000m,osm_supermarket_nearest_1000m,osm_public_transport_stop_count_1000m,osm_public_transport_stop_nearest_1000m,osm_cafe_restaurant_count_1000m,osm_cafe_restaurant_nearest_1000m,osm_fitness_sport_count_1000m,osm_fitness_sport_nearest_1000m,osm_total_poi_count_1000m,infrastructure_score_1000m,log1p_osm_metro_count_1000m,log1p_osm_park_count_1000m,log1p_osm_school_count_1000m,log1p_osm_kindergarten_count_1000m,log1p_osm_hospital_clinic_count_1000m,log1p_osm_pharmacy_count_1000m,log1p_osm_supermarket_count_1000m,log1p_osm_public_transport_stop_count_1000m,log1p_osm_cafe_restaurant_count_1000m,log1p_osm_fitness_sport_count_1000m,log1p_osm_total_poi_count_1000m,address_exact,address_zone,residential_complex,building_key,metro_primary,geo_cell_2000m,geo_cell_1000m,geo_cell_500m,geo_cell_200m,listing_density_250m,listing_density_500m,listing_density_1000m,listing_density_2000m,listing_density_5000m,listing_density_10000m,nearest_listing_distance_m,ext_cafe_restaurant_count_250m,ext_cafe_restaurant_count_500m,ext_cafe_restaurant_count_750m,ext_fitness_sport_count_250m,ext_fitness_sport_count_500m,ext_fitness_sport_count_750m,ext_hospital_clinic_count_250m,ext_hospital_clinic_count_500m,ext_hospital_clinic_count_750m,ext_kindergarten_count_250m,ext_kindergarten_count_500m,ext_kindergarten_count_750m,ext_metro_count_250m,ext_metro_count_500m,ext_metro_count_750m,ext_park_count_250m,ext_park_count_500m,ext_park_count_750m,ext_pharmacy_count_250m,ext_pharmacy_count_500m,ext_pharmacy_count_750m,ext_public_transport_stop_count_250m,ext_public_transport_stop_count_500m,ext_public_transport_stop_count_750m,ext_school_count_250m,ext_school_count_500m,ext_school_count_750m,ext_supermarket_count_250m,ext_supermarket_count_500m,ext_supermarket_count_750m,ext_total_poi_count_250m,ext_total_poi_count_500m,ext_total_poi_count_750m,distance_to_moscow_center_km,approx_mkad_distance_km,inside_approx_mkad,center_bearing_sin,center_bearing_cos,area_per_room_m2
6135245.0,15.629560733122764,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,ddu,unknown,unknown,middle,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,55.89999,37.2542,1.0,37.6,,18.4,,0.4893617021276595,4.0,12.0,0.3333333333333333,,,2.8,,,0.0,0,0,0,1,0,1,,0,,0.0,0.0,0,416,64,0.0,1001.0,12.0,370.5,0.0,1001.0,1.0,456.1,0.0,1001.0,0.0,1001.0,5.0,593.1,5.0,571.0,10.0,562.8,1.0,953.4,34.0,35.0,0.0,2.5649493574615367,0.0,0.6931471805599453,0.0,0.0,1.791759469228055,1.791759469228055,2.3978952727983707,0.6931471805599453,3.555348061489413,"д. юрлово, д. 5",д. юрлово,жк «большое юрлово»,дом 5,unknown,2794_1862,5589_3725,11179_7450,27949_18627,46.0,48.0,52.0,73.0,99.0,463.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,25.0,28.126328334332946,10.926328334332947,0.0,-0.8072744300320134,0.5901762403015627,37.6
7625453.0,15.847002419668861,avito,unknown,unknown,unknown,flat,brick,new_building,comfort,central,unknown,unknown,unknown,unknown,no_finish,ddu,mixed,unknown,first,unknown,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,55.51879,37.07037,1.0,35.8,,13.5,,0.3770949720670391,1.0,3.0,0.3333333333333333,,,3.1,2.0,,0.0,1,1,2,0,0,0,4.0,0,27.0,0.0,0.0,0,2322,326,0.0,1001.0,9.0,539.3,1.0,394.6,0.0,1001.0,0.0,1001.0,0.0,1001.0,2.0,554.5,1.0,556.1,0.0,1001.0,0.0,1001.0,13.0,22.0,0.0,2.302585092994046,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,0.0,2.6390573296152584,"д. мартемьяново, стр. 2",д. мартемьяново,мартемьяново клаб,позиция 2,unknown,2775_1853,5551_3707,11103_7414,27759_18535,4.0,4.0,5.0,15.0,36.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,43.027433259670154,25.827433259670155,0.0,-0.8018248183961388,-0.5975591691238609,35.8
11917136.0,16.293488006188788,avito,unknown,unknown,unknown,flat,panel,unknown,comfort,unknown,unknown,unknown,unknown,unknown,finished,dkp,combined,loggia,middle,unknown,unknown,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,55.56632,37.68656,1.0,34.0,8.9,11.9,0.26176470588235295,0.35000000000000003,11.0,24.0,0.4583333333333333,,,2.8,2.0,,3.0,1,0,1,1,1,2,,0,1.0,0.0,1.0,0,839,126,0.0,1001.0,17.0,492.7,0.0,1001.0,0.0,1001.0,0.0,1001.0,1.0,235.3,4.0,231.3,4.0,121.5,6.0,195.4,1.0,233.3,33.0,42.5,0.0,2.8903717578961645,0.0,0.0,0.0,0.6931471805599453,1.6094379124341005,1.6094379124341005,1.9459101490553128,0.6931471805599453,3.5263605246161616,"ул. старо-нагорная, д. 31",ул. старо-нагорная,жк 1-й южный,корпус 1.2,unknown,2778_1884,5556_3768,11113_7537,27783_18843,26.0,31.0,32.0,46.0,168.0,320.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,11.0,23.0,21.002103266448692,3.802103266448693,0.0,0.20398656555250785,-0.9789736876311296,34.0
13408649.0,16.411410579049242,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,central,unknown,unknown,exists,unknown,prefinish,ddu,combined,balcony,low,unknown,unknown,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,55.60552,37.41724,1.0,34.9,13.2,10.2,0.37822349570200575,0.2922636103151862,3.0,14.0,0.21428571428571427,,,2.6,,,2.0,1,0,1,1,1,2,13.0,3,,1.0,0.0,0,2423,346,6.0,684.0,7.0,181.8,4.0,153.7,4.0,93.2,1.0,610.7,8.0,208.4,3.0,496.8,14.0,342.5,3.0,250.7,0.0,1001.0,49.0,68.0,1.9459101490553128,2.079441541679836,1.6094379124341005,1.6094379124341005,0.6931471805599453,2.19722457733622,1.3862943611198906,2.70805020110221,1.3862943611198906,0.0,3.912023005428146,"п. сосенское, стр. 57",п. сосенское,саларьево парк,корпус 57.5,филатов луг (11–15 мин.),2780_1870,5560_3741,11121_7483,27802_18708,12.0,12.0,27.0,41.0,106.0,253.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,3.0,7.0,0.0,2.0,7.0,1.0,2.0,3.0,0.0,1.0,2.0,6.0,18.0,32.0,20.534311130093773,3.3343111300937736,0.0,-0.6154006414330326,-0.7882144698772106,34.9
5990000.0,15.605602137036527,avito,unknown,unknown,unknown,flat,brick,unknown,comfort,central,unknown,unknown,unknown,unknown,no_finish,ddu,mixed,unknown,middle,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,55.52786,37.04111,1.0,32.4,,14.1,,0.4351851851851852,2.0,5.0,0.4,,,,2.0,,0.0,1,1,2,1,1,2,31.0,1,,0.0,0.0,0,1980,290,0.0,1001.0,22.0,221.3,0.0,1001.0,0.0,1001.0,0.0,1001.0,0.0,1001.0,3.0,738.4,4.0,871.7,3.0,712.8,0.0,1001.0,32.0,51.0,0.0,3.1354942159291497,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341005,1.3862943611198906,0.0,3.49650756146648,"ул. парк апрель, стр. 2",ул. парк апрель,жк «апрелевка клаб»,позиция 2,апрелевка (от 31 мин.),2776_1852,5552_3704,11105_7408,27763_18520,6.0,7.0,10.0,21.0,44.0,114.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,43.92784035153688,26.72784035153688,0.0,-0.8271288228202475,-0.5620123757178231,32.4
7719750.0,15.859292667594781,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,ddu,unknown,unknown,high,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,55.82056,37.21042,1.0,34.3,12.0,14.0,0.34985422740524785,0.40816326530612246,13.0,14.0,0.9285714285714286,,,,,,0.0,0,0,0,0,0,0,31.0,3,,0.0,0.0,0,132,19,0.0,1001.0,9.0,299.0,1.0,817.5,2.0,578.3,0.0,1001.0,0.0,1001.0,5.0,464.1,4.0,328.2,0.0,1001.0,0.0,1001.0,21.0,30.0,0.0,2.302585092994046,0.6931471805599453,1.0986122886681098,0.0,0.0,1.791759469228055,1.6094379124341005,0.0,0.0,3.091042453358316,"ул. береговая, стр. 1.1",ул. береговая,жк «аникеевский»,дом 1.1,аникеевка (от 31 мин.),2791_1860,5582_3721,11164_7442,27910_18605,55.0,75.0,103.0,104.0,162.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,13.0,26.64867691415694,9.448676914156941,0.0,-0.9564045040444682,0.29204524417195143,34.3
11044800.0,16.217470377471688,avito,unknown,unknown,unknown,flat,panel,new_building,unknown,unknown,unknown,unknown,unknown,unknown,finished,ddu,combined,balcony,middle,unknown,unknown,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,55.56792,37.29124,1.0,39.0,14.7,10.4,0.3769230769230769,0.26666666666666666,9.0,16.0,0.5625,,,2.6,,,3.0,1,0,1,1,1,2,,1,,1.0,0.0,0,1234,178,0.0,1001.0,10.0,91.4,2.0,234.2,1.0,654.3,0.0,1001.0,3.0,244.0,8.0,281.3,11.0,118.9,4.0,270.1,0.0,1001.0,39.0,43.5,0.0,2.3978952727983707,1.0986122886681098,0.6931471805599453,0.0,1.3862943611198906,2.19722457733622,2.4849066497880004,1.6094379124341005,0.0,3.688879454113936,"пос. филимонковское, ул. оао марьинская птицефабрика, корп. 2.1.6","пос. филимонковское, ул. оао марьинская птицефабрика",середневский лес,корпус 2.1.6,р-н филимонковский,2778_1864,5556_3729,11113_7458,27783_18645,15.0,17.0,19.0,21.0,34.0,236.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,9.0,1.0,2.0,3.0,2.0,6.0,10.0,1.0,1.0,2.0,0.0,6.0,8.0,7.0,24.0,37.0,28.926137248558877,11.726137248558878,0.0,-0.7111519287812613,-0.7030383589753064,39.0
7955037.0,15.889315996612508,avito,unknown,unknown,unknown,flat,monolith,unknown,unknown,gas,unknown,unknown,unknown,unknown,no_finish,unknown,combined,balcony,low,unknown,unknown,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,55.53213,37.61686,1.0,42.2,8.8,16.8,0.2085308056872038,0.3981042654028436,2.0,17.0,0.11764705882352941,,,2.7,,,0.0,1,0,1,1,0,1,31.0,1,5.0,1.0,0.0,0,973,140,0.0,1001.0,11.0,412.9,2.0,220.4,3.0,351.2,2.0,379.5,9.0,275.5,13.0,201.8,10.0,256.2,9.0,162.3,0.0,1001.0,59.0,56.5,0.0,2.4849066497880004,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.302585092994046,2.6390573296152584,2.3978952727983707,2.302585092994046,0.0,4.0943445622221,"с/п булатниковское, рп боброво, ул. лесная, д. 22, корп. 2","с/п булатниковское, рп боброво, ул. лесная",восточное бутово,корпус 28,улица скобелевская (от 31 мин.),2776_1880,5553_3761,11106_7523,27766_18808,1.0,7.0,51.0,78.0,110.0,357.0,249.7957936645261,1.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,9.0,0.0,6.0,9.0,1.0,1.0,2.0,1.0,8.0,13.0,3.0,27.0,50.0,24.364562589732312,7.164562589732313,0.0,-0.0040370102263477675,-0.9999918512410151,42.2
8200000.0,15.919644834185693,avito,unknown,unknown,unknown,flat,monolith_brick,unknown,unknown,unknown,unknown,unknown,unknown,unknown,prefinish,ddu,combined,loggia,high,unknown,unknown,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,55.59435,37.20972,1.0,40.1,11.5,17.0,0.286783042394015,0.4239401496259351,14.0,19.0,0.7368421052631579,,,,,,2.0,1,0,1,1,1,2,25.5,2,,0.0,1.0,1,1623,231,0.0,1001.0,38.0,141.3,1.0,163.7,1.0,481.1,1.0,177.1,2.0,157.5,2.0,146.0,10.0,170.6,1.0,788.4,1.0,544.9,57.0,92.0,0.0,3.6635616461296463,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,2.3978952727983707,0.6931471805599453,0.6931471805599453,4.060443010546419,"дер. марушкино, стр. 2",дер. марушкино,жк «внуково парк»,"очередь 2, д. 4",толстопальцево (21–30 мин.),2779_1860,5559_3720,11118_7441,27797_18604,0.0,1.0,20.0,20.0,68.0,347.0,264.74878733827757,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,16.0,30.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,25.0,44.0,31.002070943837353,13.802070943837354,0.0,-0.8282963485481817,-0.5602902453030475,40.1
17248103.0,16.663212782357284,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,electric,unknown,unknown,unknown,designer,finished,ddu,unknown,unknown,high,sleeping,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,55.80633,37.3826,1.0,34.7,,20.5,,0.5907780979827089,19.0,24.0,0.7916666666666666,,,2.9,,,3.0,0,0,0,1,1,2,25.5,3,,0.0,0.0,0,1589,225,0.0,1001.0,19.0,564.6,4.0,787.4,3.0,786.8,9.0,558.1,11.0,405.1,14.0,481.8,46.0,316.2,21.0,381.8,5.0,618.6,132.0,119.5,0.0,2.995732273553991,1.6094379124341005,1.3862943611198906,2.302585092994046,2.4849066497880004,2.70805020110221,3.8501476017100575,3.091042453358316,1.791759469228055,4.890349128221754,"д. мякинино, стр. 3",д. мякинино,жк «квартал строгино»,корпус 3,строгино (21–30 мин.),2790_1869,5580_3738,11161_7476,27903_18691,45.0,49.0,58.0,79.0,149.0,338.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,43.0,15.968640517014292,1.2313594829857077,1.0,-0.9228530450660382,0.38515225198918546,34.7
